count,date,title,description,org_link,link
1,2024-02-15 10:04:00,"이재용 회장 &quot;인재확보 중요&quot;…삼전, 대규모 경력채용 나서","영상디스플레이(VD) 사업부는 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및... 특히 <b>보안</b> 전략 수립과 관련 솔루션 개발 직무 수행을 위한 경력사원도 채용한다. 생활가전(DA) 사업부는 고객... ",https://www.pressman.kr/news/articleView.html?idxno=77973,https://www.pressman.kr/news/articleView.html?idxno=77973
2,2024-02-15 10:02:00,2023년 '업무용 PC 및 워크스테이션 사용 현황 조사' 살펴보니,"6%), '학습 <b>데이터</b> 준비 및 가공'(25.0%) 순으로 나타났다. 이는 지난해 'AI 모델 트레이닝'(4.3%)과 '시뮬레이션... 확장성과 <b>보안</b> 역량을 갖춘 제품군으로 델 테크놀로지스는 기업들이 워크스테이션을 통해 비즈니스... ",http://www.gamevu.co.kr/news/articleView.html?idxno=31167,http://www.gamevu.co.kr/news/articleView.html?idxno=31167
3,2024-02-15 10:02:00,'미리 보는 2030년' 6G가 AI를 만날 때,"ⓒ Getty Images Bank 6G는 <b>보안</b>, 탄력성, 신뢰성, 지연, 연결 밀도, 트래픽 용량, 스펙트럼 효율성, 사용자 <b>데이터</b> 속도 측면에서 5G보다 훨씬 더 뛰어나다. 속도는 최대 20Gbps인 5G보다 50배 더 빨라져서 이론적인 최고... ",https://www.ciokorea.com/news/325387,https://www.ciokorea.com/news/325387
4,2024-02-15 10:02:00,"디지털서울문화예술대학교, 2024학년도 1학기 정시 2차 모집 진행","항공<b>보안</b>학과 △패션산업학과(24학년도 신설) 등이다. 정시원서접수는 입학지원센터, 유웨이어플라이... 지원이 가능하며, 입학 관련 상담은 대표전화 또는 실시간 상담으로 문의하면 된다. 이병학 빅<b>데이터</b>뉴스 기자",http://www.thebigdata.co.kr/view.php?ud=2024021410080921636cf2d78c68_23,http://www.thebigdata.co.kr/view.php?ud=2024021410080921636cf2d78c68_23
5,2024-02-15 10:02:00,"효성인포메이션시스템, 생성형AI 워크로드 혁신 위해 에이플랫폼과 협력 강화",예정[<b>보안</b>뉴스 엄호식 기자] AI·<b>데이터</b> 인프라 솔루션 전문기업 효성인포메이션시스템(대표 양정규)이 실시간 빅<b>데이터</b> 솔루션 전문기업 에이플랫폼(대표 한정희)과 <b>데이터</b> 레이크하우스 구현 및 생성형AI... ,http://www.boannews.com/media/view.asp?idx=126702&kind=,http://www.boannews.com/media/view.asp?idx=126702&kind=
6,2024-02-15 10:00:00,특별기고 / 콜드체인 상태정보 관리 및 실시간 모니터링체계 구축 기술 개발,더구나 대부분의 유통/물류 기업은 생산부터 소비자까지 이어지는 공급사슬 중 일부분만을 담당하고 있어서 각 관리 주체 간 신뢰성 확보 및 <b>데이터 보안</b>에도 어려움을 겪고 있고 콜드체인 관리에서 중요시되는 화물의... ,https://www.klnews.co.kr/news/articleView.html?idxno=311214,https://www.klnews.co.kr/news/articleView.html?idxno=311214
7,2024-02-15 09:58:00,"북한 해킹그룹 김수키, 국내 <b>보안</b> 프로그램 위장한 악성코드 유포","Go언어 기반의 정보탈취형 악성코드인 인포스틸러(Info-Stealer)로, 국내 <b>보안</b>기업 S사의 <b>보안</b> 프로그램 설치파일로 위장했다.해당 악성코드 유포는 <b>데이터</b> 인텔리전스 기업 S2W(에스투더블유, 서상덕 대표)의... ",http://www.boannews.com/media/view.asp?idx=126703&kind=,http://www.boannews.com/media/view.asp?idx=126703&kind=
8,2024-02-15 09:56:00,"에이모, AI바우처 및 <b>데이터</b>바우처 지원사업 공급기업 6년 연속 선정","실제 에이모는 2019년부터 자율주행, <b>보안</b>, 관제, 통신, 미디어, 패션 등 누적 30여개 기업에게 고품질의 <b>데이터</b>를 제공하고 다양한 도메인에 최적화된 <b>데이터</b> 가공 작업을 성공적으로 지원해 수요기업의 약 30% 기업이... ",https://www.dailysecu.com/news/articleView.html?idxno=153552,https://www.dailysecu.com/news/articleView.html?idxno=153552
9,2024-02-15 09:54:00,"[의정언박싱] &quot;생성형 AI, 위협 보단 또다른 새로운 기회 제공&quot;","여전히 신뢰성의 문제나 학습 <b>데이터</b> 관련된 규제 등의 한계로 아직 상용화까지는 넘어야 할 산들이 많다.... 일단 <b>보안</b> 부분이 가장 큰 걱정 부분이고, 또 하나가 법적 윤리적인 부분인데 이 부분에 대해서는 어떻게... ",https://news.ifm.kr/news/articleView.html?idxno=380517,https://news.ifm.kr/news/articleView.html?idxno=380517
10,2024-02-15 09:46:00,"플래티어, 지난해 적자전환…신사업은 견조한 성장세 지속","또 지난해 획득한 공공부문 솔루션 제공에 필수 요건인 클라우드 서비스 <b>보안</b> 인증(CSAP)을 기반으로... 이커머스, <b>데이터</b> 솔루션 및 디지털 전환 영역에서 입지를 공고히 하겠다”며 “올해는 상장 후 이어온 R&amp;D... ",http://news.heraldcorp.com/view.php?ud=20240215050146,https://n.news.naver.com/mnews/article/016/0002266844?sid=101
